fy,number,percent
2001,357,71.2575
2002,318,48.7730
2003,289,39.5349
2004,297,38.2732
2005,380,49.0323
2006,488,47.5170
2007,682,49.5640
2008,805,59.9851
2009,1007,69.9792
2010,569,67.9809
2011,233,49.0526
2012,176,46.9333
2013,186,54.7059
2014,268,58.3878
2015,184,60.1307
2016,313,78.4461
2017,750,77.5595
2018,708,85.4041
